224,183
160,120
96,59
112,106
16,0
320,59
80,59
48,46
128,120
464,233
208,183
240,233
480,233
32,0
368,120
64,59
272,0
336,59
0,0
416,169
352,106
304,46
448,183
288,46
432,183
400,120
256,0
144,120
176,169
384,120
192,183
225,183
129,120
337,59
81,59
321,59
465,233
193,183
417,169
369,120
289,46
97,59
353,106
65,59
401,169
161,120
33,0
449,183
113,106
385,120
305,59
1,0
257,0
17,0
241,233
273,0
49,46
209,183
433,183
145,120
177,169
450,183
386,120
34,0
338,59
130,120
82,59
66,59
370,120
98,59
50,46
354,106
466,233
194,183
210,183
258,0
146,120
322,59
242,233
226,183
402,169
290,46
434,183
18,0
418,169
114,106
306,59
274,0
178,169
162,120
2,0
451,183
467,233
19,0
115,106
403,169
323,59
387,120
355,106
419,169
243,233
307,59
131,120
35,0
371,120
179,169
275,0
51,46
227,183
195,183
259,0
291,46
83,59
67,59
163,120
3,0
339,59
211,183
435,183
99,59
147,120
100,59
388,120
404,169
148,120
52,46
84,59
196,183
4,0
324,59
340,59
180,169
276,0
420,169
116,106
292,46
436,183
260,0
36,0
212,183
164,120
132,120
468,233
20,0
372,120
308,59
228,183
244,233
68,59
452,183
356,106
101,59
277,0
21,0
229,183
325,59
373,120
261,0
53,46
437,183
117,106
469,233
213,183
293,46
149,120
245,233
181,169
133,120
37,0
421,169
69,59
341,59
453,183
85,59
389,120
309,59
165,120
357,106
405,169
197,183
5,0
454,183
230,183
470,233
326,59
150,120
134,120
374,120
310,59
182,169
166,120
54,46
22,0
246,233
262,0
294,46
214,183
102,59
358,106
390,120
438,183
118,106
278,0
6,0
70,59
406,169
38,0
342,106
86,59
198,183
422,183
439,183
119,106
455,183
151,120
39,0
327,59
71,59
407,169
55,46
231,183
375,120
359,106
263,0
343,106
311,59
471,233
23,0
215,183
279,0
295,46
247,0
7,0
135,120
183,183
103,59
391,120
199,183
87,59
423,183
167,120
312,59
296,46
56,46
440,183
120,120
280,0
424,183
184,183
408,169
200,183
216,183
232,183
456,183
376,120
104,59
24,0
344,106
152,120
472,233
264,0
40,0
72,59
392,120
248,0
8,0
136,120
88,59
328,59
360,106
168,120
41,0
409,169
217,183
137,120
297,46
153,120
441,183
169,169
265,0
345,106
25,0
281,0
329,59
105,59
121,120
473,233
73,59
393,120
57,46
233,233
185,183
201,183
313,59
249,0
89,59
361,106
425,183
9,0
377,120
457,183
122,120
474,233
298,46
410,169
138,120
170,169
458,183
346,106
426,183
394,120
266,0
42,0
250,0
202,183
154,120
362,106
106,106
442,183
74,59
186,183
314,59
90,59
378,120
58,46
218,183
282,0
234,233
26,0
10,0
330,59
363,120
475,233
187,183
267,0
315,59
139,120
331,59
395,120
283,0
379,120
427,183
107,106
59,59
171,169
347,106
11,0
235,233
27,0
411,169
75,59
459,183
219,183
443,183
251,0
203,183
123,120
91,59
43,0
155,120
299,46
332,59
76,59
412,169
156,120
300,46
476,233
428,183
460,233
28,0
220,183
92,59
188,183
172,169
396,120
140,120
124,120
204,183
380,120
236,233
252,0
316,59
444,183
284,46
364,120
12,0
60,59
44,0
108,106
268,0
348,106
381,120
189,183
61,59
413,169
397,120
253,0
13,0
301,46
77,59
477,233
429,183
333,59
29,0
125,120
349,106
157,120
93,59
205,183
445,183
317,59
285,46
45,0
221,183
141,120
237,233
173,169
461,233
109,106
365,120
269,0
398,120
254,0
158,120
366,120
430,183
286,46
46,46
222,183
142,120
30,0
350,106
14,0
446,183
62,59
110,106
302,46
270,0
126,120
382,120
206,183
190,183
318,59
238,233
414,169
174,169
462,233
78,59
478,233
94,59
334,59
159,120
15,0
367,120
47,46
319,59
95,59
79,59
207,183
351,106
255,0
383,120
127,120
191,183
399,120
111,106
175,169
415,169
303,46
479,233
463,233
63,59
143,120
335,59
223,183
447,183
431,183
31,0
287,46
271,0
239,233
